fid,REG,PROV,MUN,SEC,DM,TOPONIMIA,KM2,ENLACE,RUP,TOPO2
6032,08,11,02,02,01,BOCA DE YUMA,305.132141162651,11020102,08,Boca De Yuma
6033,08,11,02,04,01,LA PIÑITA,109.915592830406,11020104,08,La Piñita
6323,10,32,05,04,02,ESTORGA,38.5806233112666,32050204,10,Estorga
6324,01,09,01,04,01,LLENAS,7.16165113948816,09010104,01,Llenas
6325,09,30,01,02,02,LAS CLARAS,89.9775743706931,30010202,09,Las Claras
6326,02,24,01,02,02,LAS CRUCES,9.2650295375097,24010202,02,Las Cruces
6034,08,11,02,01,03,BAYAHÍBE (ZONA URBANA),1.50086284449189,11020301,08,Bayahíbe (Zona Urbana)
6035,08,12,01,01,01,LA ROMANA (ZONA URBANA),25.3772887979431,12010101,08,La Romana (Zona Urbana)
6036,08,12,01,03,01,ISLA SAONA,109.017910674343,12010103,08,Isla Saona
6037,08,12,01,01,02,CALETA (ZONA URBANA),4.24818285115692,12010201,08,Caleta (Zona Urbana)
6038,08,12,02,02,01,HIGÜERAL,115.870931527928,12020102,08,Higüeral
6039,08,12,02,03,01,SABANA,145.798971992806,12020103,08,Sabana
6040,08,12,03,01,01,VILLA HERMOSA (ZONA URBANA),19.8999715707284,12030101,08,Villa Hermosa (Zona Urbana)
6041,08,12,03,01,02,CUMAYASA (ZONA URBANA),7.17075670324403,12030201,08,Cumayasa (Zona Urbana)
6042,10,32,01,01,01,SANTO DOMINGO ESTE (ZONA URBANA),73.9601229462309,32010101,10,Santo Domingo Este (Zona Urbana)
6043,10,32,01,02,01,CANCINO,3.03824587173397,32010102,10,Cancino
6044,10,32,01,03,01,MENDOZA,46.4627430376128,32010103,10,Mendoza
6045,10,32,01,01,02,SAN LUIS (ZONA URBANA),3.36271081634881,32010201,10,San Luis (Zona Urbana)
6046,10,32,01,02,02,SAN ISIDRO,14.281445036822,32010202,10,San Isidro
6047,10,32,01,03,02,EL NARANJO,25.7829221127496,32010203,10,El Naranjo
6048,10,32,01,04,02,SAN LUIS,2.34506656061536,32010204,10,San Luis
6049,10,32,02,01,01,SANTO DOMINGO OESTE (ZONA URBANA),31.3283851030449,32020101,10,Santo Domingo Oeste (Zona Urbana)
6050,10,32,02,02,01,MANOGUAYABO,23.0098391380481,32020102,10,Manoguayabo
6051,10,32,03,01,01,SANTO DOMINGO NORTE (ZONA URBANA),67.8388710547614,32030101,10,Santo Domingo Norte (Zona Urbana)
6052,10,32,03,02,01,LICEY,25.8891203061217,32030102,10,Licey
6053,10,32,03,03,01,SIERRA PRIETA,19.098023346218,32030103,10,Sierra Prieta
6054,10,32,03,04,01,DUQUESA,10.4894988311159,32030104,10,Duquesa
6055,10,32,03,05,01,HIGÜERO,20.8966782719006,32030105,10,Higüero
6056,10,32,03,06,01,LA JAGUA,27.8876996728101,32030106,10,La Jagua
6057,10,32,03,01,02,LA VICTORIA (ZONA URBANA),3.97885799181215,32030201,10,La Victoria (Zona Urbana)
6058,10,32,03,02,02,MAL NOMBRE,61.6875324650586,32030202,10,Mal Nombre
6059,10,32,03,03,02,LA VIRGEN,29.0565773435716,32030203,10,La Virgen
6060,10,32,03,04,02,MATA MAMÓN,27.8364069184999,32030204,10,Mata Mamón
6061,10,32,03,05,02,LA BOMBA,24.117910141608,32030205,10,La Bomba
6062,10,32,03,06,02,GUANUMA,15.8515614054415,32030206,10,Guanuma
6063,10,32,03,07,02,HACIENDA ESTRELLA,19.1568251340838,32030207,10,Hacienda Estrella
6064,10,32,03,08,02,LA CEIBA,33.3087510725535,32030208,10,La Ceiba
6065,10,32,04,01,01,BOCA CHICA (ZONA URBANA),19.7691251298466,32040101,10,Boca Chica (Zona Urbana)
6066,10,32,04,02,01,CRUCE DE BOCA CHICA,44.5214218648729,32040102,10,Cruce De Boca Chica
6067,10,32,04,03,01,LA MALENA,38.0471605796352,32040103,10,La Malena
5330,05,02,03,04,02,ARROYO SALADO,23.1148585585976,02030204,07,Arroyo Salado
5331,05,02,03,01,03,HATO NUEVO CORTÉS (ZONA URBANA),0.999702337428498,02030301,07,Hato Nuevo Cortés (Zona Urbana)
5332,05,02,03,02,03,ORÉGANO GRANDE,88.7539033648852,02030302,07,Orégano Grande
5333,05,02,03,03,03,EL CRUCE DE LAS YAYAS,84.8176637428338,02030303,07,El Cruce De Las Yayas
5334,05,02,03,04,03,MAGÜEYAL,8.66389358701593,02030304,07,Magüeyal
5335,05,02,04,01,01,PADRE LAS CASAS (ZONA URBANA),3.82380308070996,02040101,07,Padre Las Casas (Zona Urbana)
5336,05,02,04,02,01,VIEJO SABANA YEGUA,125.15430293323,02040102,07,Viejo Sabana Yegua
5337,05,02,04,01,02,LAS LAGUNAS (ZONA URBANA),1.03398284100745,02040201,07,Las Lagunas (Zona Urbana)
5338,05,02,04,02,02,LAS LAGUNAS,23.0503563544119,02040202,07,Las Lagunas
5339,05,02,04,03,02,CAÑA CASTILLO,60.8240311498522,02040203,07,Caña Castillo
5340,05,02,04,04,02,LAS CAÑITAS,165.357681867644,02040204,07,Las Cañitas
5341,05,02,04,01,03,LA SIEMBRA (ZONA URBANA),0.217641094710669,02040301,07,La Siembra (Zona Urbana)
6068,10,32,04,01,02,LA CALETA (ZONA URBANA),4.08737866068961,32040201,10,La Caleta (Zona Urbana)
5342,05,02,04,02,03,LA SIEMBRA,5.66486218435836,02040302,07,La Siembra
5343,05,02,04,03,03,PERIQUITO,19.507748842867,02040303,07,Periquito
5344,05,02,04,04,03,LOS NARANJOS,11.7100680972412,02040304,07,Los Naranjos
5345,05,02,04,01,04,MONTE BONITO (ZONA URBANA),0.344399796853789,02040401,07,Monte Bonito (Zona Urbana)
5346,05,02,04,02,04,LA CABUYA,45.0136036970138,02040402,07,La Cabuya
5347,05,02,04,03,04,EL CÓRBANO (EL CÓRVANO),68.9298627412089,02040403,07,El Córbano (El Córvano)
5348,05,02,04,01,05,LOS FRÍOS (ZONA URBANA),1.30701800178982,02040501,07,Los Fríos (Zona Urbana)
5349,05,02,04,02,05,LA CUCARITA,13.8333508858386,02040502,07,La Cucarita
6069,10,32,04,02,02,EL VALIENTE,8.19967869784833,32040202,10,El Valiente
5350,05,02,04,03,05,LOS GUAYUYOS,6.86657546955995,02040503,07,Los Guayuyos
5351,05,02,04,04,05,EL MONTAZO,17.1470034729133,02040504,07,El Montazo
5352,05,02,05,01,01,PERALTA (ZONA URBANA),1.73404253452919,02050101,07,Peralta (Zona Urbana)
5353,05,02,05,02,01,EL CARRIZAL,13.4570155836918,02050102,07,El Carrizal
6070,10,32,04,03,02,CAMPO LINDO,3.43084116290282,32040203,10,Campo Lindo
6071,10,32,04,04,02,LA CALETA,18.8199160022848,32040204,10,La Caleta
5354,05,02,05,03,01,EL MAJAGUAL,30.2290935141198,02050103,07,El Majagual
5355,05,02,05,04,01,PUERTO,83.93973861111,02050104,07,Puerto
5356,05,02,06,01,01,SABANA YEGUA (ZONA URBANA),1.60902882961855,02060101,07,Sabana Yegua (Zona Urbana)
5357,05,02,06,01,02,PROYECTO 4 (ZONA URBANA),2.69677760745771,02060201,07,Proyecto 4 (Zona Urbana)
5358,05,02,06,02,02,PROYECTO 4,10.5628682098094,02060202,07,Proyecto 4
5359,05,02,06,01,03,GANADERO (ZONA URBANA),2.62623086248696,02060301,07,Ganadero (Zona Urbana)
5360,05,02,06,02,03,PROYECTO D-1 GANADERO,0.420353935095183,02060302,07,Proyecto D-1 Ganadero
5361,05,02,06,01,04,PROYECTO 2-C (ZONA URBANA),3.60733972754276,02060401,07,Proyecto 2-C (Zona Urbana)
5362,05,02,06,02,04,PROYECTO 2-C,92.118514329269,02060402,07,Proyecto 2-C
5363,05,02,07,01,01,PUEBLO VIEJO (ZONA URBANA),1.26862736455529,02070101,07,Pueblo Viejo (Zona Urbana)
5364,05,02,07,02,01,LAS TERRERAS,13.3491656045996,02070102,07,Las Terreras
5365,05,02,07,03,01,GUAYACANAL,19.6284338970092,02070103,07,Guayacanal
5366,05,02,07,01,02,EL ROSARIO (ZONA URBANA),0.806469203683421,02070201,07,El Rosario (Zona Urbana)
6072,10,32,05,01,01,SAN ANTONIO DE GUERRA (ZONA URBANA),2.62911898901583,32050101,10,San Antonio De Guerra (Zona Urbana)
6073,10,32,05,02,01,EL TORO,59.4396991049481,32050102,10,El Toro
6074,10,32,05,03,01,LA JOYA,69.1517768357491,32050103,10,La Joya
5367,05,02,07,02,02,EL NUEVO CURRO,3.82600833886173,02070202,07,El Nuevo Curro
5368,05,02,08,01,01,TÁBARA ARRIBA (ZONA URBANA),1.17415877177781,02080101,07,Tábara Arriba (Zona Urbana)
5369,05,02,08,02,01,TÁBARA ARRIBA,15.8614711978876,02080102,07,Tábara Arriba
5370,05,02,08,01,02,TÁBARA ABAJO (ZONA URBANA),2.29524394602415,02080201,07,Tábara Abajo (Zona Urbana)
5371,05,02,08,02,02,ORÉGANO CHIQUITO,8.23717917452194,02080202,07,Orégano Chiquito
5372,05,02,08,03,02,KILÓMETRO 15,154.545790849472,02080203,07,Kilómetro 15
5373,05,02,08,01,03,AMIAMA GÓMEZ (ZONA URBANA),0.494528999162537,02080301,07,Amiama Gómez (Zona Urbana)
5374,05,02,08,02,03,AMIAMA GÓMEZ,14.919688971994,02080302,07,Amiama Gómez
5375,05,02,08,01,04,LOS TOROS (ZONA URBANA),0.899804360434407,02080401,07,Los Toros (Zona Urbana)
5376,05,02,08,02,04,LAS GUANÁBANAS,42.9862637307591,02080402,07,Las Guanábanas
5377,05,02,08,03,04,SAJANOA,33.3731644341089,02080403,07,Sajanoa
5378,05,02,09,01,01,GUAYABAL (ZONA URBANA),0.787403240935046,02090101,07,Guayabal (Zona Urbana)
5379,05,02,09,02,01,EL NARANJITO,173.970830039744,02090102,07,El Naranjito
5380,05,02,09,03,01,ARROYO COROZO,64.4329309578202,02090103,07,Arroyo Corozo
5381,05,02,10,01,01,ESTEBANÍA (ZONA URBANA),2.26279723789698,02100101,07,Estebanía (Zona Urbana)
5382,05,02,10,03,01,RANCHO DEL PINO,47.2975367356059,02100103,07,Rancho Del Pino
5383,05,02,10,04,01,LA CHINA,10.7810562440343,02100104,07,La China
5384,05,02,10,06,01,EL LIMÓN,24.545818966611,02100106,07,El Limón
5385,05,02,10,07,01,KILÓMETRO 8,29.7278385032918,02100107,07,Kilómetro 8
5386,05,02,10,08,01,SABANA DE MIGUEL MARTÍN,12.7678370930376,02100108,07,Sabana De Miguel Martín
5387,05,02,10,09,01,EL CRUCE,4.76296327349566,02100109,07,El Cruce
5388,05,02,10,10,01,RÍO GRANDE,35.2152989682505,02100110,07,Río Grande
5389,05,02,10,11,01,LOS QUEMADOS,11.2092872263773,02100111,07,Los Quemados
6329,01,25,01,08,06,PALO ALTO,1.69785175830661,25010608,01,Palo Alto
6330,01,25,01,01,02,PEDRO GARCÍA (ZONA URBANA),1.72912633343155,25010201,01,Pedro García (Zona Urbana)
